artwork_id,image_id,date,series,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,guardian,guardian_kind,display_location,display_url,display_until,available_from,availability_details,notes,extra_credits,license_name,license_url,original_url
mj-20220221,img-20220221,2022-02-21,,,3,en,acrylic on paper,paper,,,,,painting,1,0,Kathy Jambon,family,,,,,,,,,,
mj-20220220,img-20220220,2022-02-20,ser-20220212,intervention brutaliste,Brutalist Intervention,en,acrylic on canvas,canvas,,,14,11,painting,1,0,Martin Jambon,artist,,,,2022-02-20,,,,,,
mj-20220212,img-20220212,2022-02-12,ser-20220212,,,,acrylic on canvas,canvas,,,14,11,painting,1,1,Martin Jambon,artist,,,,2022-02-12,,,,,,
mj-20220207,img-20220207,2022-02-07,ser-20220116,la Saint-Valentin,Valentine’s Day,en,acrylic on paper,paper,24,18,,,painting,1,0,Martin Jambon,artist,,,,2022-02-07,,,,,,
mj-20220205,img-20220205,2022-02-05,ser-20220116,les viandes d’Icelande,Meats of Iceland,en,acrylic on paper,paper,32,24,,,painting,1,0,Martin Jambon,artist,,,,2022-02-05,,,,,,
mj-20220131,img-20220131,2022-01-31,ser-20220116,sushi,Sushi,en,acrylic on paper,paper,24,18,,,painting,1,0,Martin Jambon,artist,,,,2022-01-31,,,,,,
mj-20220123,img-20220123,2022-01-23,ser-20220116,viandelettes,Meatlets,en,acrylic on paper,paper,24,18,,,painting,1,0,Martin Jambon,artist,,,,2022-01-23,,,,,,
mj-20220122,img-20220122,2022-01-22,ser-20220116,,10:15 on a Saturday Night,en,acrylic on paper,paper,24,18,,,painting,1,0,Martin Jambon,artist,,,,2022-01-22,,,,,,
mj-20220116-2,img-20220116-2,2022-01-16,,rouge,Red,en,acrylic on paper,paper,,,,,painting,1,0,Martin Jambon,artist,,,,2022-01-16,,,,,,
mj-20220116-1,img-20220116-1,2022-01-16,ser-20220116,,,,acrylic on paper,paper,20,15,,,painting,1,0,Martin Jambon,artist,,,,2022-01-16,,,,,,
mj-20220109,img-20220109,2022-01-09,,,,,acrylic on paper,paper,25,20,,,painting,1,0,Martin Jambon,artist,,,,2022-01-09,,,,,,
