artwork_id,image_id,date,series,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,guardian,guardian_kind,display_location,display_url,display_until,available_from,availability_details,notes,extra_credits,license_name,license_url,original_url
mj-20221125-14,img-20221125-14,2022-11-25,ser-20221125,"la chasse aux oiseaux de nuit, par Millet",Hunting Birds at Night,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-13,img-20221125-13,2022-11-25,ser-20221125,"la leçon de tricot, par Millet",The Knitting Lesson,fr,,,10,14.2,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-12,img-20221125-12,2022-11-25,ser-20221125,"baigneuse assise au bord de l’eau, par Millet",Naked Peasant Girl at the River,fr,,,10,14.2,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-11,img-20221125-11,2022-11-25,ser-20221125,"les glaneuses, par Millet",The Gleaners,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-10,img-20221125-10,2022-11-25,ser-20221125,"printemps (Daphnis et Chloé), par Millet",Spring (Daphnis and Chloë),fr,,,10,14.2,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-9,img-20221125-9,2022-11-25,ser-20221125,"scène de jardin, par Millet",Garden Scene,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-8,img-20221125-8,2022-11-25,ser-20221125,"paysan répandant du fumier, par Millet",Peasant Spreading Manure,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-7,img-20221125-7,2022-11-25,ser-20221125,"la récolte de pommes de terre, par Millet",Harvesting Potatoes,fr,,,10,14.2,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-6,img-20221125-6,2022-11-25,ser-20221125,"blanchisseuse, par Millet",Laundress,fr,,,10,14.2,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-5,img-20221125-5,2022-11-25,ser-20221125,"femme avec un râteau, par Millet",Woman With a Rake,fr,,,10,14.2,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-4,img-20221125-4,2022-11-25,ser-20221125,"l’angélus, par Millet",The Angelus,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-3,img-20221125-3,2022-11-25,ser-20221125,"bergère assise sur un rocher, par Millet",Shepherdess Seated on a Rock,fr,,,10,14.2,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-2,img-20221125-2,2022-11-25,ser-20221125,"le semeur, par Millet",The Sower,fr,,,10,14.2,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221125-1,img-20221125-1,2022-11-25,ser-20221125,"bergère avec son troupeau, par Millet",Shepherdess with her Flock,fr,,,14.2,10,,,postcard,1,0,Martin Jambon,artist,,,,2022-11-25,,,,,,
mj-20221030-2,img-20221030-2,2022-10-30,ser-20220305,l’oeuf et la poule,The Chicken and the Egg,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-10-30,,,,,,
mj-20221030-1,img-20221030-1,2022-10-30,ser-20221030,formation atmosphérique,Atmospheric Formation,fr,acrylic marker and paint on canvas,canvas,,,14,11,atmospheric,1,1,Martin Jambon,artist,,,,2022-10-30,,,,,,
